Group,Landform/Region,Publication,Isotope,Sample_name,Scaling,Latitude_DD,Longitude_DD,Elevation_m,Pressure,Flag,Thickness,Density,Shielding,Erosion rate,10Be_Conc,10Be_standard,26Al_Conc,26Al_standard,Attenuation length,Depth to Top of Sample,Year Collected,Latitude_Uncertainty,Longitude_Uncertainty,Elevation_Uncertainty,Pressure_Uncertainty,Thickness_Uncertainty,Density_Uncertainty,Shielding_Uncertainty,Erosion_Uncertainty,10Be_Uncertainty,26Al_Uncertainty,Attenuation_Uncertainty,Depth_Uncertainty,Year_Uncertainty,SH_Mean,SH_SEM,SH_Sample_Name,CRONUS_Age_2020_03_27,CRONUS_Internal_2020_03_27,CRONUS_External_2020_03_27
Calibration dataset,Têt,Crest et al. (2017),10Be,CAC27,LM,42.610785,1.95287,2360,,Elevation,2.5,2.69,0.97,0,280800,NIST_27900,0,KNSTD,,0,2008,,,,,,,,,63300,0,,,,53.51,1.09,,12.2,2.7305,2.9
Calibration dataset,Querol,Pallàs et al. (2010),10Be,QRS01,LM,42.481606,1.863813,1346,,Elevation,1.5,2.69,0.9741,0,239247,NIST_Certified,0,KNSTD,,0,2010,,,,,,,,,48533,0,,,,41.95,1.21,,21.8,4.0819,4.4
Calibration dataset,Malniu,Pallàs et al. (2010),10Be,ICM01,LM,42.470436,1.841924,1861,,Elevation,1.3,2.69,0.99673,0,914429,NIST_27900,0,KNSTD,,0,2010,,,,,,,,,23773,0,,,,23.41,0.98,,51.8,1.4183,4.5
Calibration dataset,Malniu,Pallàs et al. (2010),10Be,ICM02,LM,42.47011,1.841772,1863,,Elevation,2.5,2.69,0.99673,0,780913,NIST_27900,0,KNSTD,,0,2010,,,,,,,,,20483,0,,,,26.48,1.02,,44.4,1.1369,3.6
Calibration dataset,Malniu,Pallàs et al. (2010),10Be,ICM03,LM,42.469819,1.841498,1863,,Elevation,1.5,2.69,0.99673,0,762888,NIST_27900,0,KNSTD,,0,2010,,,,,,,,,19928,0,,,,25.81,1.12,,43.1,1.079,3.4
Calibration dataset,Malniu,Pallàs et al. (2010),10Be,OEC05,LM,42.472798,1.839521,1935,,Elevation,1,2.69,0.99804,0,382823,NIST_27900,0,KNSTD,,0,2010,,,,,,,,,11470,0,,,,40.58,1.06,,21.1,0.59003,1.6
Calibration dataset,Malniu,Pallàs et al. (2010),10Be,OEC04,LM,42.471917,1.838795,1945,,Elevation,2.5,2.69,0.99941,0,316914,NIST_27900,0,KNSTD,,0,2010,,,,,,,,,9084,0,,,,45.15,0.92,,17.7,0.49441,1.4
Calibration dataset,Malniu,Pallàs et al. (2010),10Be,OEC06,LM,42.473989,1.838793,1937,,Elevation,1.3,2.69,0.99804,0,321389,NIST_27900,0,KNSTD,,0,2010,,,,,,,,,10012,0,,,,45.82,0.98,,17.9,0.542,1.5
Calibration dataset,Malniu,Pallàs et al. (2010),10Be,OEC03,LM,42.469542,1.837257,1951,,Elevation,2,2.69,0.99804,0,323294,NIST_27900,0,KNSTD,,0,2010,,,,,,,,,10543,0,,,,45.82,1.02,,18,0.56737,1.5
Calibration dataset,Malniu,Pallàs et al. (2010),10Be,OEC02,LM,42.469225,1.836217,1956,,Elevation,2,2.69,0.99929,0,395965,NIST_27900,0,KNSTD,,0,2010,,,,,,,,,11441,0,,,,41.58,1.2,,21.6,0.5938,1.7
